cond_a,cond_b,cond_c,seed,clip,stop_epoch,RMSE,NASA,test_PDR,test_R2,test_CBR,test_RMSE_const,val_PDR,val_R2,val_CBR,val_RMSE,elapsed_s,is_collapsed
A1_fixed,B3_warmup,C3_clip100,9,100,79,8.7099,113.66,0.966452,0.926945,0.253395,34.3728,0.955831,0.94388,0.235062,7.6421,16.9,False
A2_per_seed,B1_off,C1_unclipped,0,None,200,39.3505,1801076.4,1.528114,0.096367,0.523417,75.1801,0.726856,0.636882,0.599983,68.6859,42.3,False
A2_per_seed,B1_off,C1_unclipped,1,None,200,34.2176,351860.12,1.461744,0.316735,0.455141,75.1801,0.841803,0.76944,0.478158,46.292,42.8,False
A2_per_seed,B1_off,C1_unclipped,2,None,200,33.6035,1366651.58,1.449069,0.341037,0.446974,75.1801,0.898221,0.818449,0.408358,36.2918,42.7,False
A2_per_seed,B1_off,C1_unclipped,3,None,200,37.1658,698781.4,1.488867,0.19392,0.494357,75.1801,0.865391,0.809009,0.436492,45.6896,42.8,False
A2_per_seed,B1_off,C1_unclipped,4,None,200,42.2107,54293729.24,1.572325,-0.039766,0.561461,75.1801,0.834979,0.674259,0.57032,59.1992,42.7,False
A2_per_seed,B1_off,C1_unclipped,5,None,200,27.6475,113820.98,1.308249,0.55393,0.36775,75.1801,0.878335,0.811774,0.433813,42.5314,42.5,False
A2_per_seed,B1_off,C1_unclipped,6,None,200,36.3012,2935289.43,1.450644,0.230986,0.482857,75.1801,0.896217,0.783473,0.464836,46.7918,42.5,False
A2_per_seed,B1_off,C1_unclipped,7,None,200,25.7471,15119.75,1.280128,0.613145,0.342472,75.1801,1.078568,0.722953,0.488461,39.6919,43.0,False
A2_per_seed,B1_off,C1_unclipped,8,None,200,35.9828,21090794.64,1.478486,0.24442,0.478621,75.1801,0.89516,0.759176,0.489502,51.0213,42.8,False
A2_per_seed,B1_off,C1_unclipped,9,None,200,50.3315,239389954000.34,1.645341,-0.478326,0.669478,75.1801,0.874188,0.654459,0.587339,62.1978,42.5,False
A2_per_seed,B1_off,C2_clip125,0,125,200,13.2287,412.04,1.01869,0.885919,0.302716,43.7,0.985743,0.913136,0.294684,12.0228,42.6,False
A2_per_seed,B1_off,C2_clip125,1,125,200,12.1048,292.51,1.006119,0.90448,0.276997,43.7,0.961572,0.940241,0.243385,10.1176,43.2,False
A2_per_seed,B1_off,C2_clip125,2,125,200,11.2715,211.01,1.018484,0.917178,0.257929,43.7,0.963846,0.921237,0.276318,11.7206,42.9,False
A2_per_seed,B1_off,C2_clip125,3,125,200,11.8401,305.44,1.017425,0.908611,0.270941,43.7,0.971144,0.945846,0.232708,9.4649,42.8,False
A2_per_seed,B1_off,C2_clip125,4,125,200,13.9837,452.11,0.999584,0.872526,0.319993,43.7,0.953553,0.935254,0.253945,10.4782,42.6,False
A2_per_seed,B1_off,C2_clip125,5,125,200,12.7007,321.46,1.024062,0.894844,0.290633,43.7,0.974856,0.937275,0.250417,10.2135,42.7,False
A2_per_seed,B1_off,C2_clip125,6,125,200,12.0392,317.22,1.00957,0.905512,0.275498,43.7,0.9531,0.932496,0.259314,10.6969,42.3,False
A2_per_seed,B1_off,C2_clip125,7,125,200,12.3028,290.17,0.995351,0.901329,0.28153,43.7,0.956357,0.9058,0.300815,12.8312,42.8,False
A2_per_seed,B1_off,C2_clip125,8,125,200,12.5682,287.94,1.006227,0.897026,0.287603,43.7,0.95835,0.926766,0.268757,11.2399,43.0,False
A2_per_seed,B1_off,C2_clip125,9,125,200,12.5727,307.01,1.014752,0.896952,0.287705,43.7,0.975774,0.941967,0.240877,9.8197,43.0,False
A2_per_seed,B1_off,C3_clip100,0,100,200,8.3284,122.05,0.997781,0.933203,0.242297,34.3728,1.00341,0.936006,0.252943,7.8502,42.6,False
A2_per_seed,B1_off,C3_clip100,1,100,200,7.5787,87.33,0.979368,0.944688,0.220487,34.3728,0.965308,0.963233,0.191159,6.095,42.7,False
A2_per_seed,B1_off,C3_clip100,2,100,200,7.6281,89.01,1.002965,0.943965,0.221922,34.3728,0.987636,0.944411,0.233273,7.6518,42.9,False
A2_per_seed,B1_off,C3_clip100,3,100,200,7.6805,100.59,1.005301,0.943192,0.223447,34.3728,0.982475,0.958727,0.203157,6.2753,42.4,False
A2_per_seed,B1_off,C3_clip100,4,100,200,7.4524,95.55,0.972638,0.946516,0.216812,34.3728,0.96988,0.958103,0.204399,6.4478,42.5,False
A2_per_seed,B1_off,C3_clip100,5,100,200,8.8058,130.9,0.979393,0.925326,0.256187,34.3728,0.971162,0.958539,0.203601,6.3159,42.4,False
A2_per_seed,B1_off,C3_clip100,6,100,200,7.5256,93.79,0.983291,0.945461,0.21894,34.3728,0.96721,0.957216,0.206561,6.5135,42.6,False
A2_per_seed,B1_off,C3_clip100,7,100,200,9.0548,138.93,0.980703,0.921044,0.26343,34.3728,0.963646,0.928722,0.263357,8.708,43.2,False
A2_per_seed,B1_off,C3_clip100,8,100,200,6.8996,73.72,0.994757,0.954156,0.200729,34.3728,0.970573,0.955593,0.209719,6.7426,42.5,False
A2_per_seed,B1_off,C3_clip100,9,100,200,7.6835,98.3,0.978976,0.943148,0.223535,34.3728,0.977047,0.953476,0.215678,6.6859,42.8,False
A2_per_seed,B2_from0,C1_unclipped,0,None,82,39.3505,1801076.4,1.528114,0.096367,0.523417,75.1801,0.726856,0.636882,0.599983,68.6859,17.3,False
A2_per_seed,B2_from0,C1_unclipped,1,None,96,40.898,4862387.97,1.506146,0.023898,0.544,75.1801,0.822788,0.708412,0.53773,52.0594,20.6,False
A2_per_seed,B2_from0,C1_unclipped,2,None,19,61.9384,969775.94,2e-06,-1.238781,0.823867,75.1801,1e-06,-0.010403,0.96336,85.6163,4.0,True
A2_per_seed,B2_from0,C1_unclipped,3,None,69,40.5897,6865423.58,1.490114,0.038557,0.5399,75.1801,0.772817,0.767177,0.481929,50.4458,14.9,False
A2_per_seed,B2_from0,C1_unclipped,4,None,62,41.9992,8112149.06,1.509407,-0.029373,0.558648,75.1801,0.845459,0.656516,0.585646,60.7901,13.0,False
